	Addendum J for CY2025 ranks to determine primary assignment of comprehensive HCPCS codes									
53270	Removal of urethra gland	J1	5374	"3,312.59"	18	12	"3,320.55"	"1,652"	 	
52343	Cysto w/renal stricture tx	J1	5374	"3,312.59"	9	0	"3,312.59"	"1,653"	 	
50970	Ureter endoscopy	J1	5374	"3,312.59"	5	0	"3,312.59"	"1,654"	 	
51535	Repair of ureter lesion	J1	5374	"3,312.59"	4	0	"3,312.59"	"1,655"	 	
54620	Suspension of testis	J1	5374	"3,312.59"	4	0	"3,312.59"	"1,656"	 	
50570	Kidney endoscopy	J1	5374	"3,312.59"	3	0	"3,312.59"	"1,657"	 	
50972	Ureter endoscopy & catheter	J1	5374	"3,312.59"	3	0	"3,312.59"	"1,658"	 	
51030	Incise & treat bladder	J1	5374	"3,312.59"	1	0	"3,312.59"	"1,659"	YES	
54326	Reconstruction of urethra	J1	5374	"3,312.59"	1	0	"3,312.59"	"1,660"	 	
54680	Relocation of testis(es)	J1	5374	"3,312.59"	1	0	"3,312.59"	"1,661"	 	
0550T	Tprnl balo cntnc dev rmvl ea	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,662"	YES	
50395	Create passage to kidney	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,663"	YES	
53865	Cysto insj dev ischmc rmdlg	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,664"	 	
54312	Reconstruction of urethra	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,665"	 	
54318	Reconstruction of urethra	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,666"	 	
54328	Revise penis/urethra	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,667"	 	
54332	Revise penis/urethra	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,668"	 	
54336	Revise penis/urethra	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,669"	 	
54865	Explore epididymis	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,670"	 	
54901	Fusion of spermatic ducts	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,671"	 	
55200	Incision of sperm duct	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,672"	 	
55680	Remove sperm pouch lesion	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,673"	 	
55720	Drainage of prostate abscess	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,674"	 	
55725	Drainage of prostate abscess	J1	5374	"3,312.59"	0	0	"3,312.59"	"1,675"	 	
50590	Fragmenting of kidney stone	J1	5374	"3,312.59"	"28,221"	"21,546"	"3,311.56"	"1,676"	 	
54512	Excise lesion testis	J1	5374	"3,312.59"	108	23	"3,303.41"	"1,677"	 	
52234	Cystoscopy and treatment	J1	5374	"3,312.59"	"17,424"	"12,467"	"3,286.74"	"1,678"	 	
52001	Cysto w/irrg&evac mlt clots	J1	5374	"3,312.59"	"1,922"	956	"3,277.64"	"1,679"	 	
54520	Removal of testis	J1	5374	"3,312.59"	902	445	"3,263.49"	"1,680"	 	
55150	Removal of scrotum	J1	5374	"3,312.59"	111	61	"3,250.74"	"1,681"	 	
52300	Cystoscopy and treatment	J1	5374	"3,312.59"	57	5	"3,196.82"	"1,682"	 	
50695	Plmt ureteral stent prq	J1	5374	"3,312.59"	323	199	"3,193.81"	"1,683"	 	
55705	Biopsy of prostate	J1	5374	"3,312.59"	34	16	"3,139.56"	"1,684"	 	
54435	Revision of penis	J1	5374	"3,312.59"	17	15	"3,122.75"	"1,685"	 	
52332	Cystoscopy and treatment	J1	5374	"3,312.59"	"60,139"	"25,994"	"3,117.60"	"1,686"	 	
52341	Cysto w/ureter stricture tx	J1	5374	"3,312.59"	764	147	"3,083.14"	"1,687"	 	
50951	Endoscopy of ureter	J1	5374	"3,312.59"	34	12	"3,055.53"	"1,688"	 	
52214	Cystoscopy and treatment	J1	5374	"3,312.59"	"3,194"	"1,636"	"3,039.19"	"1,689"	 	
52351	Cystouretero & or pyeloscope	J1	5374	"3,312.59"	"9,944"	"3,322"	"3,008.50"	"1,690"	 	
53460	Revision of urethra	J1	5374	"3,312.59"	36	17	"2,981.12"	"1,691"	 	
50694	Plmt ureteral stent prq	J1	5374	"3,312.59"	370	208	"2,920.93"	"1,692"	 	
53260	Treatment of urethra lesion	J1	5374	"3,312.59"	53	27	"2,890.66"	"1,693"	 	
52402	Cystourethro cut ejacul duct	J1	5374	"3,312.59"	9	6	"2,874.20"	"1,694"	 	
55706	Prostate saturation sampling	J1	5374	"3,312.59"	"2,844"	"2,713"	"2,848.61"	"1,695"	 	
52224	Cystoscopy and treatment	J1	5374	"3,312.59"	"6,509"	"4,685"	"2,826.88"	"1,696"	 	
54535	Extensive testis surgery	J1	5374	"3,312.59"	6	5	"2,814.25"	"1,697"	 	
54322	Reconstruction of urethra	J1	5374	"3,312.59"	5	1	"2,810.55"	"1,698"	 	
50433	Plmt nephroureteral catheter	J1	5374	"3,312.59"	"2,023"	918	"2,800.78"	"1,699"	 	
54830	Remove epididymis lesion	J1	5374	"3,312.59"	270	151	"2,782.78"	"1,700"	 	
55060	Repair of hydrocele	J1	5374	"3,312.59"	287	188	"2,778.52"	"1,701"	 	
53275	Repair of urethra defect	J1	5374	"3,312.59"	69	52	"2,771.33"	"1,702"	 	
53605	Dilate urethra stricture	J1	5374	"3,312.59"	145	108	"2,749.84"	"1,703"	 	
55500	Removal of hydrocele	J1	5374	"3,312.59"	164	88	"2,742.27"	"1,704"	 	
54860	Removal of epididymis	J1	5374	"3,312.59"	164	102	"2,742.17"	"1,705"	 	
52700	Drainage of prostate abscess	J1	5374	"3,312.59"	19	7	"2,729.52"	"1,706"	 	
50693	Plmt ureteral stent prq	J1	5374	"3,312.59"	"1,392"	904	"2,632.36"	"1,707"	 	
50437	Dilat xst trc new access rcs	J1	5374	"3,312.59"	506	28	"2,625.84"	"1,708"	 	
53450	Revision of urethra	J1	5374	"3,312.59"	165	83	"2,519.55"	"1,709"	 	
54420	Revision of penis	J1	5374	"3,312.59"	7	7	"2,470.91"	"1,710"	 	
50574	Kidney endoscopy & biopsy	J1	5374	"3,312.59"	7	1	"2,170.09"	"1,711"	 	
37790	Penile venous occlusion	J1	5374	"3,312.59"	1	1	"1,671.15"	"1,712"	 	
50436	Dilat xst trc ndurlgc px	J1	5374	"3,312.59"	409	13	"1,666.70"	"1,713"	 	
54670	Repair testis injury	J1	5374	"3,312.59"	2	2	"1,539.53"	"1,714"	 	
57109	Vagnc bi total pel lymphadec	J1	5414	"3,204.32"	1	1	"6,764.66"	"1,715"	 	
59409	Obstetrical care	J1	5414	"3,204.32"	7	6	"5,923.37"	"1,716"	 	
57000	Colpotomy w/exploration	J1	5414	"3,204.32"	12	6	"4,783.87"	"1,717"	 	
58600	Division of fallopian tube	J1	5414	"3,204.32"	2	2	"4,531.17"	"1,718"	 	
58145	Myomectomy vag method	J1	5414	"3,204.32"	24	11	"4,461.48"	"1,719"	 	
57300	Repair rectum-vagina fistula	J1	5414	"3,204.32"	55	45	"4,359.47"	"1,720"	 	
59300	Episiotomy or vaginal repair	J1	5414	"3,204.32"	3	1	"4,332.28"	"1,721"	 	
57210	Repair vagina/perineum	J1	5414	"3,204.32"	119	22	"4,210.25"	"1,722"	 	
56625	Vulvectomy simple complete	J1	5414	"3,204.32"	74	69	"4,046.70"	"1,723"	 	
56805	Clitoroplasty intersex state	J1	5414	"3,204.32"	8	2	"3,812.53"	"1,724"	 	
57720	Revision of cervix	J1	5414	"3,204.32"	30	4	"3,767.75"	"1,725"	 	
57230	Repair of urethral lesion	J1	5414	"3,204.32"	38	3	"3,760.17"	"1,726"	 	
57106	Vagnc prtl rmvl vag wall	J1	5414	"3,204.32"	381	110	"3,555.63"	"1,727"	 	
56442	Hymenotomy	J1	5414	"3,204.32"	6	2	"3,502.23"	"1,728"	 	
57107	Vagnc compl rmvl paravag tis	J1	5414	"3,204.32"	48	20	"3,492.91"	"1,729"	 	
57200	Repair of vagina	J1	5414	"3,204.32"	364	112	"3,395.19"	"1,730"	 	
58558	Hysteroscopy biopsy	J1	5414	"3,204.32"	"31,657"	"29,911"	"3,393.09"	"1,731"	 	
57295	Revise vag graft via vagina	J1	5414	"3,204.32"	522	295	"3,343.42"	"1,732"	 	
59160	D & c after delivery	J1	5414	"3,204.32"	20	16	"3,303.71"	"1,733"	 	
58615	Occlude fallopian tube(s)	J1	5414	"3,204.32"	2	2	"3,294.85"	"1,734"	 	
57558	D&c of cervical stump	J1	5414	"3,204.32"	1	1	"3,270.63"	"1,735"	 	
56620	Vulvectomy simple partial	J1	5414	"3,204.32"	"2,312"	"1,998"	"3,221.17"	"1,736"	 	
57700	Revision of cervix	J1	5414	"3,204.32"	4	0	"3,204.32"	"1,737"	 	
0071T	Us leiomyomata ablate <200	J1	5414	"3,204.32"	0	0	"3,204.32"	"1,738"	 	
0072T	Fcsd us abltj leiomyom>=200	J1	5414	"3,204.32"	0	0	"3,204.32"	"1,739"	 	
58770	Create new tubal opening	J1	5414	"3,204.32"	0	0	"3,204.32"	"1,740"	 	
58820	Drain ovary abscess open	J1	5414	"3,204.32"	0	0	"3,204.32"	"1,741"	 	
59612	Vbac delivery only	J1	5414	"3,204.32"	0	0	"3,204.32"	"1,742"	 	
59812	Treatment of miscarriage	J1	5414	"3,204.32"	148	143	"3,196.06"	"1,743"	 	
56740	Exc bartholins gland/cyst	J1	5414	"3,204.32"	141	111	"3,186.77"	"1,744"	 	
59821	Treatment of miscarriage	J1	5414	"3,204.32"	17	17	"3,175.12"	"1,745"	 	
57520	Conization of cervix	J1	5414	"3,204.32"	829	694	"2,921.00"	"1,746"	 	
59870	Evacuate mole of uterus	J1	5414	"3,204.32"	3	3	"2,920.25"	"1,747"	 	
57105	Biopsy vaginal mucosa xtnsv	J1	5414	"3,204.32"	111	71	"2,896.74"	"1,748"	 	
56800	Plastic repair introitus	J1	5414	"3,204.32"	32	9	"2,890.89"	"1,749"	 	
57061	Destruction vag lesions smpl	J1	5414	"3,204.32"	377	328	"2,885.48"	"1,750"	 	
56810	Perineoplasty rpr per nonob	J1	5414	"3,204.32"	351	60	"2,822.94"	"1,751"	 	
57010	Colpotomy drg pel abscess	J1	5414	"3,204.32"	4	3	"2,759.97"	"1,752"	 	
58562	Hysteroscopy remove fb	J1	5414	"3,204.32"	123	106	"2,738.29"	"1,753"	 	
59414	Deliver placenta	J1	5414	"3,204.32"	1	1	"2,646.76"	"1,754"	 	
57130	Excision vaginal septum	J1	5414	"3,204.32"	26	9	"2,646.18"	"1,755"	 	
58555	Hysteroscopy dx sep proc	J1	5414	"3,204.32"	482	401	"2,619.16"	"1,756"	 	
56700	Prtl hymnctmy/revj hymnl rng	J1	5414	"3,204.32"	33	17	"2,611.21"	"1,757"	 	
59320	Revision of cervix	J1	5414	"3,204.32"	61	61	"2,601.88"	"1,758"	 	
57065	Destruction vag lesion xtnsv	J1	5414	"3,204.32"	96	81	"2,588.09"	"1,759"	 	
59840	Induced abortion d&c	J1	5414	"3,204.32"	7	7	"2,580.07"	"1,760"	 	
57135	Excision vaginal cyst/tumor	J1	5414	"3,204.32"	629	339	"2,578.21"	"1,761"	 	
57800	Dilation of cervical canal	J1	5414	"3,204.32"	49	47	"2,560.39"	"1,762"	 	
56440	Mrsplzatn brthlns glnd cst	J1	5414	"3,204.32"	77	61	"2,558.72"	"1,763"	 	
57522	Conization of cervix	J1	5414	"3,204.32"	"1,336"	"1,100"	"2,489.72"	"1,764"	 	
59820	Care of miscarriage	J1	5414	"3,204.32"	213	204	"2,433.52"	"1,765"	 	
57513	Laser surgery of cervix	J1	5414	"3,204.32"	32	22	"2,399.77"	"1,766"	 	
56441	Lysis of labial adhesions	J1	5414	"3,204.32"	271	173	"2,390.39"	"1,767"	 	
59841	Induced abortion dilat&evac	J1	5414	"3,204.32"	12	11	"2,384.64"	"1,768"	 	
57400	Dilation of vagina	J1	5414	"3,204.32"	37	26	"2,379.91"	"1,769"	 	
57415	Remove vaginal foreign body	J1	5414	"3,204.32"	135	95	"2,347.38"	"1,770"	 	
58120	Dilation and curettage	J1	5414	"3,204.32"	"2,111"	"1,633"	"2,338.94"	"1,771"	 	
57460	Bx of cervix w/scope leep	J1	5414	"3,204.32"	200	166	"2,325.94"	"1,772"	 	
57410	Pelvic examination	J1	5414	"3,204.32"	848	784	"1,996.10"	"1,773"	 	
57461	Conz of cervix w/scope leep	J1	5414	"3,204.32"	152	133	"1,923.26"	"1,774"	 	
57510	Cauterization of cervix	J1	5414	"3,204.32"	15	11	"1,786.65"	"1,775"	 	
59412	Antepartum manipulation	J1	5414	"3,204.32"	7	7	"1,486.12"	"1,776"	 	
58800	Drainage of ovarian cyst(s)	J1	5414	"3,204.32"	4	4	"1,449.07"	"1,777"	 	
58900	Biopsy of ovary(s)	J1	5414	"3,204.32"	7	7	"1,326.29"	"1,778"	 	
58345	Reopen fallopian tube	J1	5414	"3,204.32"	2	1	"1,286.95"	"1,779"	 	
58805	Drainage of ovarian cyst(s)	J1	5414	"3,204.32"	3	2	511.04	"1,780"	 	
21610	Partial removal of rib	J1	5113	"3,153.64"	2	1	"18,813.20"	"1,781"	 	
24925	Amputation follow-up surgery	J1	5113	"3,153.64"	3	2	"16,444.71"	"1,782"	 	
27496	Decompression of thigh/knee	J1	5113	"3,153.64"	1	1	"15,436.73"	"1,783"	 	
26494	Hand tendon/muscle transfer	J1	5113	"3,153.64"	2	2	"10,005.19"	"1,784"	 	
27098	Transfer tendon to pelvis	J1	5113	"3,153.64"	1	1	"9,043.38"	"1,785"	 	
27392	Incision of thigh tendons	J1	5113	"3,153.64"	2	1	"8,535.71"	"1,786"	 	
26130	Remove wrist joint lining	J1	5113	"3,153.64"	26	4	"8,252.84"	"1,787"	 	
27892	Decompression of leg	J1	5113	"3,153.64"	13	2	"8,187.22"	"1,788"	 	
0707T	Njx b1 sub mtrl sbchdrl dfct	J1	5113	"3,153.64"	269	30	"7,939.34"	"1,789"	 	
64822	Sympathectomy ulnar artery	J1	5113	"3,153.64"	27	1	"7,240.08"	"1,790"	 	
26260	Resect prox finger tumor	J1	5113	"3,153.64"	3	1	"6,732.65"	"1,791"	 	
23170	Remove collar bone lesion	J1	5113	"3,153.64"	7	5	"6,716.14"	"1,792"	 	
23125	Claviculectomy total	J1	5113	"3,153.64"	9	4	"6,218.56"	"1,793"	 	
28260	Release of midfoot joint	J1	5113	"3,153.64"	61	3	"6,083.13"	"1,794"	 	
25332	Revise wrist joint	J1	5113	"3,153.64"	156	41	"5,916.84"	"1,795"	 	
29863	Hip arthr0 w/synovectomy	J1	5113	"3,153.64"	105	65	"5,817.18"	"1,796"	 	
27062	Remove femur lesion/bursa	J1	5113	"3,153.64"	932	668	"5,771.19"	"1,797"	 	
23106	Incision of collarbone joint	J1	5113	"3,153.64"	4	3	"5,611.56"	"1,798"	 	
29882	Knee arthroscopy/surgery	J1	5113	"3,153.64"	748	425	"5,590.49"	"1,799"	 	
28295	Cor hlx vlgs prx mtar osteot	J1	5113	"3,153.64"	281	100	"5,543.80"	"1,800"	 	
26476	Tendon lengthening	J1	5113	"3,153.64"	25	1	"5,490.34"	"1,801"	 	
29821	Sho arthrs srg compl synvct	J1	5113	"3,153.64"	112	18	"5,375.19"	"1,802"	 	
27066	Remove hip bone les deep	J1	5113	"3,153.64"	26	7	"5,369.65"	"1,803"	 	
23040	Exploratory shoulder surgery	J1	5113	"3,153.64"	43	23	"5,303.96"	"1,804"	 	
23150	Removal of humerus lesion	J1	5113	"3,153.64"	42	8	"5,273.47"	"1,805"	 	
29800	Jaw arthroscopy/surgery	J1	5113	"3,153.64"	16	11	"5,122.67"	"1,806"	 	
27334	Remove knee joint lining	J1	5113	"3,153.64"	137	76	"5,025.29"	"1,807"	 	
27097	Revision of hip tendon	J1	5113	"3,153.64"	10	1	"4,962.61"	"1,808"	 	
29906	Subtalar arthro w/deb	J1	5113	"3,153.64"	33	11	"4,942.83"	"1,809"	 	
28086	Excise foot tendon sheath	J1	5113	"3,153.64"	110	5	"4,938.26"	"1,810"	 	
26541	Repair hand joint with graft	J1	5113	"3,153.64"	103	57	"4,925.56"	"1,811"	 	
27425	Lat retinacular release open	J1	5113	"3,153.64"	205	66	"4,923.78"	"1,812"	 	
27612	Exploration of ankle joint	J1	5113	"3,153.64"	161	15	"4,913.20"	"1,813"	 	
27602	Decompression of lower leg	J1	5113	"3,153.64"	28	9	"4,910.57"	"1,814"	 	
24343	Repr elbow lat ligmnt w/tiss	J1	5113	"3,153.64"	369	36	"4,861.22"	"1,815"	 	
27707	Osteotomy fibula	J1	5113	"3,153.64"	68	7	"4,857.82"	"1,816"	 	
26565	Correct metacarpal flaw	J1	5113	"3,153.64"	38	11	"4,857.71"	"1,817"	 	
29819	Sho arthrs srg rmvl loose/fb	J1	5113	"3,153.64"	214	39	"4,838.19"	"1,818"	 	
27435	Incision of knee joint	J1	5113	"3,153.64"	41	8	"4,829.29"	"1,819"	 	
24100	Arthrt elbw synovial bx only	J1	5113	"3,153.64"	2	1	"4,825.79"	"1,820"	 	
23190	Partial removal of scapula	J1	5113	"3,153.64"	6	3	"4,815.50"	"1,821"	 	
28118	Removal of heel bone	J1	5113	"3,153.64"	"1,060"	119	"4,780.62"	"1,822"	 	
26665	Treat thumb fracture	J1	5113	"3,153.64"	37	26	"4,770.65"	"1,823"	 	
29891	Ankle arthroscopy/surgery	J1	5113	"3,153.64"	255	36	"4,751.43"	"1,824"	 	
26498	Finger tendon transfer	J1	5113	"3,153.64"	58	14	"4,696.91"	"1,825"	 	
26615	Treat metacarpal fracture	J1	5113	"3,153.64"	915	585	"4,680.90"	"1,826"	 	
22511	Perq lumbosacral injection	J1	5113	"3,153.64"	"1,343"	"1,174"	"4,618.36"	"1,827"	 	
29822	Sho arthrs srg lmtd dbrdmt	J1	5113	"3,153.64"	"3,228"	"1,082"	"4,617.72"	"1,828"	 	
25447	Arthrp ntrcrp/crp/mtcr ntrps	J1	5113	"3,153.64"	"8,708"	"2,834"	"4,612.45"	"1,829"	 	
29805	Sho arthrs dx +- synovial bx	J1	5113	"3,153.64"	118	72	"4,593.41"	"1,830"	 	
26545	Reconstruct finger joint	J1	5113	"3,153.64"	29	10	"4,574.95"	"1,831"	 	
26490	Revise thumb tendon	J1	5113	"3,153.64"	40	5	"4,573.87"	"1,832"	 	
29823	Sho arthrs srg xtnsv dbrdmt	J1	5113	"3,153.64"	"12,093"	"1,587"	"4,567.02"	"1,833"	 	
25085	Incision of wrist capsule	J1	5113	"3,153.64"	35	2	"4,553.00"	"1,834"	 	
26567	Correct finger deformity	J1	5113	"3,153.64"	27	12	"4,511.27"	"1,835"	 	
25274	Repair forearm tendon/muscle	J1	5113	"3,153.64"	19	3	"4,483.57"	"1,836"	 	
23020	Release shoulder joint	J1	5113	"3,153.64"	206	16	"4,483.46"	"1,837"	 	
26540	Repair hand joint	J1	5113	"3,153.64"	583	294	"4,480.76"	"1,838"	 	
22510	Perq cervicothoracic inject	J1	5113	"3,153.64"	"1,095"	973	"4,454.29"	"1,839"	 	
27310	Exploration of knee joint	J1	5113	"3,153.64"	305	233	"4,448.74"	"1,840"	 	
28505	Treat big toe fracture	J1	5113	"3,153.64"	133	94	"4,432.61"	"1,841"	 	
29835	Elbow arthroscopy/surgery	J1	5113	"3,153.64"	19	4	"4,430.83"	"1,842"	 	
29838	Elbow arthroscopy/surgery	J1	5113	"3,153.64"	152	61	"4,430.36"	"1,843"	 	
25126	Remove/graft forearm lesion	J1	5113	"3,153.64"	13	9	"4,415.66"	"1,844"	 	
25145	Remove forearm bone lesion	J1	5113	"3,153.64"	8	4	"4,407.65"	"1,845"	 	
27640	Partial removal of tibia	J1	5113	"3,153.64"	253	76	"4,393.65"	"1,846"	 	
25150	Partial removal of ulna	J1	5113	"3,153.64"	29	4	"4,387.25"	"1,847"	 	
29895	Ankle arthroscopy/surgery	J1	5113	"3,153.64"	177	44	"4,385.28"	"1,848"	 	
28116	Revision of foot	J1	5113	"3,153.64"	40	16	"4,369.00"	"1,849"	 	
26735	Treat finger fracture each	J1	5113	"3,153.64"	"1,031"	516	"4,368.69"	"1,850"	 	
25107	Remove wrist joint cartilage	J1	5113	"3,153.64"	40	4	"4,355.63"	"1,851"	 	
26862	Fusion/graft of finger joint	J1	5113	"3,153.64"	283	175	"4,353.20"	"1,852"	 	
29894	Ankle arthroscopy/surgery	J1	5113	"3,153.64"	39	11	"4,341.71"	"1,853"	 	
27641	Partial removal of fibula	J1	5113	"3,153.64"	245	50	"4,329.15"	"1,854"	 	
28200	Repair of foot tendon	J1	5113	"3,153.64"	969	190	"4,325.32"	"1,855"	 	
29825	Sho arthrs srg lss&rescj ads	J1	5113	"3,153.64"	604	305	"4,323.16"	"1,856"	 	
23935	Inc dp opn b1 crtx hum/elbw	J1	5113	"3,153.64"	10	4	"4,322.45"	"1,857"	 	
29883	Knee arthroscopy/surgery	J1	5113	"3,153.64"	126	89	"4,315.50"	"1,858"	 	
27355	Remove femur lesion	J1	5113	"3,153.64"	66	31	"4,287.58"	"1,859"	 	
25265	Repair forearm tendon/muscle	J1	5113	"3,153.64"	21	12	"4,277.26"	"1,860"	 	
28296	Cor hlx vlgs dstl mtar osteo	J1	5113	"3,153.64"	"2,842"	"1,223"	"4,272.44"	"1,861"	 	
26496	Revise thumb tendon	J1	5113	"3,153.64"	12	3	"4,247.40"	"1,862"	 	
27332	Removal of knee cartilage	J1	5113	"3,153.64"	17	13	"4,241.72"	"1,863"	 	
29897	Ankle arthroscopy/surgery	J1	5113	"3,153.64"	311	72	"4,222.29"	"1,864"	 	
27658	Repair of leg tendon each	J1	5113	"3,153.64"	500	112	"4,219.00"	"1,865"	 	
24006	Arthrt elbw capsl exc rls	J1	5113	"3,153.64"	49	11	"4,214.92"	"1,866"	 	
28476	Treat metatarsal fracture	J1	5113	"3,153.64"	143	65	"4,210.30"	"1,867"	 	
26548	Reconstruct finger joint	J1	5113	"3,153.64"	106	23	"4,187.75"	"1,868"	 	
27080	Removal of tail bone	J1	5113	"3,153.64"	56	48	"4,185.67"	"1,869"	 	
28240	Release of big toe	J1	5113	"3,153.64"	65	4	"4,185.66"	"1,870"	 	
23044	Exploratory shoulder surgery	J1	5113	"3,153.64"	14	7	"4,183.53"	"1,871"	 	
26030	Drainage of palm bursas	J1	5113	"3,153.64"	4	1	"4,177.71"	"1,872"	 	
20650	Insert and remove bone pin	J1	5113	"3,153.64"	26	12	"4,171.21"	"1,873"	 	
28208	Repair of foot tendon	J1	5113	"3,153.64"	339	118	"4,170.61"	"1,874"	 	
28114	Removal of metatarsal heads	J1	5113	"3,153.64"	139	19	"4,169.56"	"1,875"	 	
26100	Biopsy hand joint lining	J1	5113	"3,153.64"	5	5	"4,126.20"	"1,876"	 	
29824	Sho arthrs srg dstl claviclc	J1	5113	"3,153.64"	"12,171"	924	"4,121.11"	"1,877"	 	
24332	Tenolysis triceps	J1	5113	"3,153.64"	23	3	"4,118.07"	"1,878"	 	
26542	Repair hand joint with graft	J1	5113	"3,153.64"	81	23	"4,112.30"	"1,879"	 	
28120	Part removal of ankle/heel	J1	5113	"3,153.64"	"1,160"	266	"4,110.49"	"1,880"	 	
27600	Decompression of lower leg	J1	5113	"3,153.64"	67	7	"4,107.50"	"1,881"	 	
26535	Revise finger joint	J1	5113	"3,153.64"	249	97	"4,093.50"	"1,882"	 	
25355	Revision of radius	J1	5113	"3,153.64"	3	2	"4,040.73"	"1,883"	 	
26434	Repair/graft finger tendon	J1	5113	"3,153.64"	6	4	"4,029.23"	"1,884"	 	
27360	Partial removal leg bone(s)	J1	5113	"3,153.64"	56	29	"4,024.79"	"1,885"	 	
29898	Ankle arthroscopy/surgery	J1	5113	"3,153.64"	988	252	"4,024.16"	"1,886"	 	
27601	Decompression of lower leg	J1	5113	"3,153.64"	70	2	"4,013.72"	"1,887"	 	
29804	Jaw arthroscopy/surgery	J1	5113	"3,153.64"	109	67	"4,013.48"	"1,888"	 	
25275	Repair forearm tendon sheath	J1	5113	"3,153.64"	51	21	"3,997.67"	"1,889"	 	
25280	Revise wrist/forearm tendon	J1	5113	"3,153.64"	442	10	"3,995.59"	"1,890"	 	
26492	Tendon transfer with graft	J1	5113	"3,153.64"	21	6	"3,982.82"	"1,891"	 	
27680	Release of lower leg tendon	J1	5113	"3,153.64"	458	66	"3,978.85"	"1,892"	 	
27594	Amputation follow-up surgery	J1	5113	"3,153.64"	26	20	"3,955.90"	"1,893"	 	
26990	Drainage of pelvis lesion	J1	5113	"3,153.64"	243	221	"3,953.66"	"1,894"	 	
28312	Revision of toe	J1	5113	"3,153.64"	374	11	"3,941.92"	"1,895"	 	
24130	Excision radial head	J1	5113	"3,153.64"	76	21	"3,914.24"	"1,896"	 	
26860	Fusion of finger joint	J1	5113	"3,153.64"	"1,861"	"1,242"	"3,908.52"	"1,897"	 	
27607	Treat lower leg bone lesion	J1	5113	"3,153.64"	20	11	"3,900.78"	"1,898"	 	
25312	Transplant forearm tendon	J1	5113	"3,153.64"	350	15	"3,898.73"	"1,899"	 	
27390	Incision of thigh tendon	J1	5113	"3,153.64"	13	6	"3,872.44"	"1,900"	 	
24140	Partial exc bone humerus	J1	5113	"3,153.64"	81	23	"3,854.13"	"1,901"	 	
27675	Repair lower leg tendons	J1	5113	"3,153.64"	181	20	"3,833.86"	"1,902"	 	
26489	Transplant/graft palm tendon	J1	5113	"3,153.64"	17	3	"3,820.31"	"1,903"	 	
28805	Amputation thru metatarsal	J1	5113	"3,153.64"	847	617	"3,812.06"	"1,904"	 	
26516	Fusion of knuckle joint	J1	5113	"3,153.64"	204	4	"3,778.33"	"1,905"	 	
29834	Elbow arthroscopy/surgery	J1	5113	"3,153.64"	105	21	"3,771.88"	"1,906"	 	
27330	Biopsy knee joint lining	J1	5113	"3,153.64"	15	10	"3,761.10"	"1,907"	 	
26356	Repair finger/hand tendon	J1	5113	"3,153.64"	392	83	"3,755.18"	"1,908"	 	
23130	Acromp/acromionectomy prtl	J1	5113	"3,153.64"	416	40	"3,738.64"	"1,909"	 	
25215	Removal of wrist bones	J1	5113	"3,153.64"	575	198	"3,737.32"	"1,910"	 	
29837	Elbow arthroscopy/surgery	J1	5113	"3,153.64"	42	21	"3,733.87"	"1,911"	 	
25335	Centralization wrist on ulna	J1	5113	"3,153.64"	4	1	"3,721.46"	"1,912"	 	
28645	Repair toe dislocation	J1	5113	"3,153.64"	423	25	"3,719.89"	"1,913"	 	
27305	Incise thigh tendon & fascia	J1	5113	"3,153.64"	181	60	"3,712.04"	"1,914"	 	
24101	Arthrt elbw jt expl bx rmvl	J1	5113	"3,153.64"	69	24	"3,697.91"	"1,915"	 	
27001	Incision of hip tendon	J1	5113	"3,153.64"	30	10	"3,680.09"	"1,916"	 	
27331	Explore/treat knee joint	J1	5113	"3,153.64"	108	81	"3,665.90"	"1,917"	 	
29846	Wrist arthroscopy/surgery	J1	5113	"3,153.64"	497	210	"3,662.93"	"1,918"	 	
25120	Removal of forearm lesion	J1	5113	"3,153.64"	90	15	"3,662.93"	"1,919"	 	
64821	Sympathectomy radial artery	J1	5113	"3,153.64"	34	4	"3,660.03"	"1,920"	 	
26746	Treat finger fracture each	J1	5113	"3,153.64"	297	138	"3,656.88"	"1,921"	 	
26420	Repair/graft finger tendon	J1	5113	"3,153.64"	87	21	"3,620.47"	"1,922"	 	
24000	Arthrt elbw expl drg/rmvl fb	J1	5113	"3,153.64"	48	31	"3,620.24"	"1,923"	 	
26593	Release muscles of hand	J1	5113	"3,153.64"	147	2	"3,618.83"	"1,924"	 	
29871	Knee arthroscopy/drainage	J1	5113	"3,153.64"	54	38	"3,592.53"	"1,925"	 	
23120	Claviculectomy partial	J1	5113	"3,153.64"	"1,619"	210	"3,584.12"	"1,926"	 	
