	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2025"						
77402	Radiation tx delivery simple	S	5621				
77407	Radiation tx delivery intrm	S	5622	CF19			
77412	Radiation tx delivery complx	S	5622				
77417	Ther radiology port image(s)	N		CP8			
77422	Neutron beam tx simple	S	5623	PD18			
77423	Neutron beam tx complex	S	5623	NI6			
77424	Io rad tx delivery by x-ray	J1	5627	NI12			
77425	Io rad tx deliver by elctrns	J1	5627	NI12			
77427	Radiation tx management x5	B					
77431	Radiation therapy management	B					
77432	Stereotactic radiation trmt	B					
77435	Sbrt management	N		NI7			
77469	Io radiation tx management	B		NI12			
77470	Special radiation treatment	S	5623	CP15			
77499	Unlisted px ther rad tx mgmt	B					
77520	Proton trmt simple w/o comp	S	5623	CP15			
77522	Proton trmt simple w/comp	S	5625	CF16			
77523	Proton trmt intermediate	S	5625	CF16			
77525	Proton treatment complex	S	5625	CF16			
77600	Hyperthermia ext gen supfc	S	5622	CP15			
77605	Hyperthermia ext gen deep	S	5624	CF16			
77610	Hyperthermia ntrstl prb 5/<	S	5623	CP15			
77615	Hyperthermia ntrstl prb>5	S	5623	CP15			
77620	Hyperthermia gen intrcv prb	S	5623	CP15			
77750	Infuse radioactive materials	S	5622				
77761	Apply intrcav radiat simple	S	5623	CP16			
77762	Apply intrcav radiat interm	S	5623	CP16			
77763	Apply intrcav radiat compl	S	5624	CF16			
77767	Hdr rdncl skn surf brachytx	S	5622	NP16			
77768	Hdr rdncl skn surf brachytx	S	5622	NP16			
77770	Hdr rdncl ntrstl/icav brchtx	S	5624	NP16			
77771	Hdr rdncl ntrstl/icav brchtx	S	5624	NP16			
77772	Hdr rdncl ntrstl/icav brchtx	S	5624	NP16			
77778	Apply interstit radiat compl	S	5624	CP18			
77789	Apply surf ldr radionuclide	S	5621	CF16			
77790	Radiation handling	N					
77799	Unlisted px clin brachytx	S	5621	CP16			
78012	Thyroid uptake measurement	S	5591	NI13			
78013	Thyroid imaging w/blood flow	S	5591	NI13			
78014	Thyroid imaging w/blood flow	S	5591	NI13			
78015	Thyroid met imaging	S	5591	CP16			
78016	Thyroid met imaging/studies	S	5591	CP16			
78018	Thyroid met imaging body	S	5592	CF17			
78020	Thyroid met uptake	N		CP8			
78070	Parathyroid planar imaging	S	5591	CP16			
78071	Parathyrd planar w/wo subtrj	S	5591	NI13			
78072	Parathyrd planar w/spect&ct	S	5592	NI13			
78075	Adrenal cortex & medulla img	S	5593	CF16			
78099	Unlisted endocrine px dx nuc	S	5591				
78102	Bone marrow imaging ltd	S	5591	CP16			
78103	Bone marrow imaging mult	S	5591	CP16			
78104	Bone marrow imaging body	S	5591	CP16			
78110	Plasma volume single	S	5593	CP17			
78111	Plasma volume multiple	S	5593	CP17			
78120	Red cell mass single	S	5591	CP16			
78121	Red cell mass multiple	S	5592	CP17			
78122	Whl bld volume determination	S	5592	CP16			
78130	Red cell survival study	S	5591	CP16			
78135	Red cell survival kinetics	S	5591	PD21			
78140	Red cell sequestration	S	5591	CP16			
78185	Spleen imaging	S	5591	CP16			
78190	Platelet survival kinetics	S	5593	PD18			
78191	Platelet survival study	S	5591	CF16			
78195	Lymph system imaging	S	5592	CP17			
78199	Unlstd hematop ret/endo lymp	S	5591	CP16			
78201	Liver imaging static only	S	5592	CP21			
78202	Liver imaging with vasc flow	S	5592	CP21			
78205	Liver imaging (3d)	S	5592	PD20			
78206	Liver image (3d) with flow	S	5592	PD20			
78215	Lvr&spleen img static only	S	5591	CP16			
78216	Lvr&spleen img w/vasc flow	S	5591	CP16			
78226	Hepatobiliary system imaging	S	5591	NI12			
78227	Hepatobil syst image w/drug	S	5592	NI12			
78230	Salivary gland imaging	S	5591	CP16			
78231	Salivary glnd img serial img	S	5591	CP16			
78232	Salivary gland function std	S	5591	CP16			
78258	Esophageal motility	S	5591	CP16			
78261	Gastric mucosa imaging	S	5591	CP16			
78262	Gastroesophageal reflux std	S	5591	CP16			
78264	Gastric emptying imag study	S	5591	CP16			
78265	Gastric emptying imag study	S	5591	NP16			
78266	Gastric emptying imag study	S	5592	NP16			
78267	Breath tst attain/anal c-14	A					
78268	Breath test analysis c-14	A					
78270	Vit b-12 absorption exam	S	5591	D19			
78271	Vit b-12 absrp exam int fac	S	5591	D19			
78272	Vit b-12 absorp combined	S	5591	D19			
78278	Acute gi blood loss imaging	S	5591	CP16			
78282	Gi protein loss exam	S	5591	CP16			
78290	Meckels divert exam	S	5591	CP16			
78291	Leveen/shunt patency exam	S	5591	CP16			
78299	Unlisted gi px dx nuc med	S	5591	CP16			
78300	Bone imaging limited area	S	5591	CP16			
78305	Bone imaging multiple areas	S	5591	CP16			
78306	Bone imaging whole body	S	5591	CP16			
78315	Bone imaging 3 phase	S	5591	CP16			
78320	Bone imaging (3d)	S	5592	PD20			
78350	Bone mineral single photon	E1					
78351	Bone mineral dual photon	E1					
78399	Unlisted muscskel px dx nuc	S	5591	CP16			
78414	Non-imaging heart function	S	5592				
78428	Cardiac shunt imaging	S	5591	CP16			
78429	Myocrd img pet 1 std w/ct	S	5594	NP20			
78430	Myocrd img pet rst/strs w/ct	S	5594	NP20			
78431	Myocrd img pet rst&strs ct	S	1522	NP20			
78432	Myocrd img pet 2rtracer	S	1520	NP20			
78433	Myocrd img pet 2rtracer ct	S	1521	NP20			
78434	Aqmbf pet rest & rx stress	N 		NP20			
78445	Vascular flow imaging	S	5591	CF16			
78451	Ht muscle image spect sing	S	5593	NI10			
78452	Ht muscle image spect mult	S	5593	NI10			
78453	Ht muscle image planar sing	S	5593	NI10			
78454	Ht musc image planar mult	S	5593	NI10			
78456	Acute venous thrombus image	S	5593	CF16			
78457	Venous thrombosis imaging	S	5592	CP21			
78458	Ven thrombosis images bilat	S	5591	CF16			
78459	Myocrd img pet single study	S	5593	CP17			
78466	Heart infarct image	S	5591	CP16			
78468	Heart infarct image (ef)	S	5592	CP17			
78469	Heart infarct image (3d)	S	5592	CP21			
78472	Gated heart planar single	S	5591	CP16			
78473	Gated heart multiple	S	5591	CP16			
78481	Heart first pass single	S	5592				
78483	Heart first pass multiple	S	5592	CP16			
78491	Myocrd img pet 1std rst/strs	S	5594	CF16			
78492	Myocrd img pet mlt rst&strs	S	5594	CF16			
78494	Heart image spect	S	5591	CP16			
78496	Heart first pass add-on	N		CP8			
78499	Unlisted cv px dx nuc med	S	5591	CP16			
78579	Lung ventilation imaging	S	5591	NI12			
78580	Lung perfusion imaging	S	5591	CP16			
78582	Lung ventilat&perfus imaging	S	5592	NI12			
78597	Lung perfusion differential	S	5591	NI12			
78598	Lung perf&ventilat diferentl	S	5592	NI12			
78599	Unlisted resp px dx nuc med	S	5591	CP16			
78600	Brain image < 4 views	S	5591	CP16			
78601	Brain image w/flow < 4 views	S	5591	CP16			
78605	Brain image 4+ views	S	5592	CP16			
78606	Brain image w/flow 4 + views	S	5592	CP16			
78607	Brain imaging (3d)	S	5593	PD20			
78608	Brain imaging (pet)	S	5594	CF16			
78609	Brain imaging (pet)	E1					
78610	Brain flow imaging only	S	5592	CP17			
78630	Cerebrospinal fluid scan	S	5592	CP16			
78635	Csf ventriculography	S	5592	CP16			
78645	Csf shunt evaluation	S	5592	CP17			
78647	Cerebrospinal fluid scan	S	5592	PD20			
78650	Csf leakage imaging	S	5593	CF16			
78660	Nuclear exam of tear flow	S	5591	CP16			
78699	Unlisted nrvs sys px dx nuc	S	5591	CP16			
78700	Kidney imaging morphol	S	5591	CP16			
78701	Kidney imaging with flow	S	5591	CP16			
78707	K flow/funct image w/o drug	S	5592	CP16			
78708	K flow/funct image w/drug	S	5592	CP16			
78709	K flow/funct image multiple	S	5592	CP16			
78710	Kidney imaging (3d)	S	5592	PD20			
78725	Kidney function study	S	5591	CP17			
78730	Urinary bladder retention	N		CP14			
78740	Ureteral reflux study	S	5591	CP16			
78761	Testicular imaging w/flow	S	5591	CP16			
78799	Unlisted gu px dx nuc med	S	5591	CP16			
78800	Rp loclzj tum 1 area 1 d img	S	5591	CP16			
78801	Rp loclzj tum 2+area 1+d img	S	5591	CP16			
78802	Rp loclzj tum whbdy 1 d img	S	5593	CP17			
78803	Rp loclzj tum spect 1 area	S	5593	CP21			
78804	Rp loclzj tum whbdy 2+d img	S	5593	CF20			
78805	Abscess imaging ltd area	S	5593	PD20			
78806	Abscess imaging whole body	S	5593	PD20			
78807	Nuclear localization/abscess	S	5592	PD20			
78808	Iv inj ra drug dx study	N	5591	CF16			
78811	Pet image ltd area	S	5593	CP17			
78812	Pet image skull-thigh	S	5594	CF16			
78813	Pet image full body	S	5594	CF16			
78814	Pet image w/ct lmtd	S	5594	CF16			
78815	Pet image w/ct skull-thigh	S	5594	CF16			
78816	Pet image w/ct full body	S	5594	CF16			
78830	Rp loclzj tum spect w/ct 1	S	5593	NP20			
78831	Rp loclzj tum spect 2 areas	S	5593	NP20			
78832	Rp loclzj tum spect w/ct 2	S	5594	NP20			
78835	Rp quan meas single area	N		NP20			
78999	Unlisted misc px dx nuc med	S	5591	CF16			
79005	Nuclear rx oral admin	S	5661	CP16			
79101	Nuclear rx iv admin	S	5661	CP16			
79200	Nuclear rx intracav admin	S	5661	CP16			
79300	Nuclr rx interstit colloid	S	5661	CP16			
79403	Hematopoietic nuclear tx	S	5661	CP16			
79440	Nuclear rx intra-articular	S	5661	CP16			
79445	Nuclear rx intra-arterial	S	5661	CP16			
79999	Rp therapy unlisted px	S	5661	CP16			
80047	Metabolic panel ionized ca	N		NI8			
80048	Metabolic panel total ca	N		CP16			
80050	General health panel	E1					
80051	Electrolyte panel	N		CP16			
80053	Comprehen metabolic panel	N		CP16			
80055	Obstetric panel	N		CF18			
80061	Lipid panel	A		CP16			
80069	Renal function panel	N		CP16			
80074	Acute hepatitis panel	N		CP16			
80076	Hepatic function panel	N		CP16			
80081	Obstetric panel inc hiv tstg	N		NP16			
80143	Drug assay acetaminophen	N		NP21			
80145	Drug assay adalimumab	N		NP20			
80150	Assay of amikacin	N		CP16			
80151	Drug assay amiodarone	N		NP21			
80155	Drug assay caffeine	N		NI14			
80156	Assay carbamazepine total	N		CP16			
80157	Assay carbamazepine free	N		CP16			
80158	Drug assay cyclosporine	N		CP16			
80159	Drug assay clozapine	N		NI14			
80161	"Asy carbamazepin 10,11-epxid"	N		NP21			
80162	Assay of digoxin total	N		CP16			
80163	Assay of digoxin free	N		NI15			
80164	Assay dipropylacetic acd tot	N		CP14			
80165	Dipropylacetic acid free	N		NI15			
80167	Drug assay felbamate	N		NP21			
80168	Assay of ethosuximide	N		CP16			
80169	Drug assay everolimus	N		NI14			
80170	Assay of gentamicin	N		CP14			
80171	Drug screen quant gabapentin	N		NI14			
80173	Assay of haloperidol	N		CP16			
80175	Drug screen quan lamotrigine	N		NI14			
80176	Assay of lidocaine	N		CP16			
80177	Drug scrn quan levetiracetam	N		NI14			
80178	Assay of lithium	N		CP16			
80179	Drug assay salicylate	N		NP21			
80180	Drug scrn quan mycophenolate	N		NI14			
80181	Drug assay flecainide	N		NP21			
80183	Drug scrn quant oxcarbazepin	N		NI14			
80184	Assay of phenobarbital	N		CP16			
80185	Assay of phenytoin total	N		CP16			
80186	Assay of phenytoin free	N		CP16			
80187	Drug assay posaconazole	N		NP20			
80188	Assay of primidone	N		CP16			
80189	Drug assay itraconazole	N		NP21			
80190	Assay of procainamide	N		CP16			
80192	Assay of procainamide	N		CP16			
80193	Drug assay leflunomide	N		NP21			
80194	Assay of quinidine	N		CP16			
80195	Assay of sirolimus	N		NI6			
80197	Assay of tacrolimus	N		CP16			
80198	Assay of theophylline	N		CP16			
80199	Drug screen quant tiagabine	N		NI14			
80200	Assay of tobramycin	N		CP16			
80201	Assay of topiramate	N		CP16			
80202	Assay of vancomycin	N		CP16			
80203	Drug screen quant zonisamide	N		NI14			
80204	Drug assay methotrexate	N		NP21			
80210	Drug assay rufinamide	N		NP21			
80220	Drug asy hydroxychloroquine	N		NP22			
80230	Drug assay infliximab	N		NP20			
80235	Drug assay lacosamide	N		NP20			
80280	Drug assay vedolizumab	N		NP20			
80285	Drug assay voriconazole	N		NP20			
80299	Quantitative assay drug	N		CP16			
80305	Drug test prsmv dir opt obs	N		NP17			
80306	Drug test prsmv instrmnt	N		NP17			
80307	Drug test prsmv chem anlyzr	N		NP17			
80320	Drug screen quantalcohols	B		NI15			
80321	Alcohols biomarkers 1or 2	B		NI15			
80322	Alcohols biomarkers 3/more	B		NI15			
80323	Alkaloids nos	B		NI15			
80324	Drug screen amphetamines 1/2	B		NI15			
80325	Amphetamines 3or 4	B		NI15			
80326	Amphetamines 5 or more	B		NI15			
80327	Anabolic steroid 1 or 2	B		NI15			
80328	Anabolic steroid 3 or more	B		NI15			
80329	Analgesics non-opioid 1 or 2	B		NI15			
80330	Analgesics non-opioid 3-5	B		NI15			
80331	Analgesics non-opioid 6/more	B		NI15			
80332	Antidepressants class 1 or 2	B		NI15			
80333	Antidepressants class 3-5	B		NI15			
80334	Antidepressants class 6/more	B		NI15			
80335	Antidepressant tricyclic 1/2	B		NI15			
80336	Antidepressant tricyclic 3-5	B		NI15			
80337	Tricyclic & cyclicals 6/more	B		NI15			
80338	Antidepressant not specified	B		NI15			
80339	Antiepileptics nos 1-3	B		NI15			
80340	Antiepileptics nos 4-6	B		NI15			
80341	Antiepileptics nos 7/more	B		NI15			
80342	Antipsychotics nos 1-3	B		NI15			
80343	Antipsychotics nos 4-6	B		NI15			
80344	Antipsychotics nos 7/more	B		NI15			
80345	Drug screening barbiturates	B		NI15			
80346	Benzodiazepines1-12	B		NI15			
80347	Benzodiazepines 13 or more	B		NI15			
80348	Drug screening buprenorphine	B		NI15			
80349	Cannabinoids natural	B		NI15			
80350	Cannabinoids synthetic 1-3	B		NI15			
80351	Cannabinoids synthetic 4-6	B		NI15			
80352	Cannabinoid synthetic 7/more	B		NI15			
80353	Drug screening cocaine	B		NI15			
80354	Drug screening fentanyl	B		NI15			
80355	Gabapentin non-blood	B		NI15			
80356	Heroin metabolite	B		NI15			
80357	Ketamine and norketamine	B		NI15			
80358	Drug screening methadone	B		NI15			
80359	Methylenedioxyamphetamines	B		NI15			
80360	Methylphenidate	B		NI15			
80361	Opiates 1 or more	B		NI15			
80362	Opioids & opiate analogs 1/2	B		NI15			
80363	Opioids & opiate analogs 3/4	B		NI15			
80364	Opioid &opiate analog 5/more	B		NI15			
80365	Drug screening oxycodone	B		NI15			
80366	Drug screening pregabalin	B		NI15			
80367	Drug screening propoxyphene	B		NI15			
80368	Sedative hypnotics	B		NI15			
80369	Skeletal muscle relaxant 1/2	B		NI15			
80370	Skel musc relaxant 3 or more	B		NI15			
80371	Stimulants synthetic	B		NI15			
80372	Drug screening tapentadol	B		NI15			
80373	Drug screening tramadol	B		NI15			
80374	Stereoisomer analysis	B		NI15			
80375	Drug/substance nos 1-3	B		NI15			
80376	Drug/substance nos 4-6	B		NI15			
80377	Drug/substance nos 7/more	B		NI15			
80400	Acth stimulation panel	N		CP16			
80402	Acth stimulation panel	N		CP16			
80406	Acth stimulation panel	N		CP16			
80408	Aldosterone suppression eval	N		CP16			
80410	Calcitonin stimul panel	N		CP16			
80412	Crh stimulation panel	N		CP16			
80414	Testosterone response panel	N		CP16			
80415	Tot estradiol response panel	N		CP16			
80416	Renin stimulation panel	N		CP16			
80417	Renin stimulation panel	N		CP16			
80418	Pituitary evaluation panel	N		CP16			
80420	Dexamethasone panel	N		CP16			
80422	Glucagon tolerance panel	N		CP16			
80424	Glucagon tolerance panel	N		CP16			
80426	Gonadotropin hormone panel	N		CP16			
80428	Growth hormone panel	N		CP16			
80430	Growth hormone panel	N		CP16			
80432	Insulin suppression panel	N		CP16			
80434	Insulin tolerance panel	N		CP16			
80435	Insulin tolerance panel	N		CP16			
80436	Metyrapone panel	N		CP16			
80438	Trh stimulation panel	N		CP16			
80439	Trh stimulation panel	N		CP16			
80500	Lab pathology consultation	N	5671	PD22			
80502	Lab pathology consultation	N	5672	PD22			
80503	Path clin consltj sf 5-20	N	5671	NP22			
80504	Path clin consltj mod 21-40	N	5672	NP22			
80505	Path clin consltj high 41-60	N	5672	NP22			
80506	Path clin consltj prolng svc	N		NP22			
81000	Urinalysis nonauto w/scope	N		CP16			
81001	Urinalysis auto w/scope	N		CP16			
81002	Urinalysis nonauto w/o scope	N		CP16			
81003	Urinalysis auto w/o scope	N		CP16			
81005	Urinalysis	N		CP16			
81007	Urine screen for bacteria	N		CP16			
81015	Microscopic exam of urine	N		CP16			
81020	Urinalysis glass test	N		CP16			
81025	Urine pregnancy test	N		CP16			
81050	Urinalysis volume measure	N		CP16			
81099	Unlisted urinalysis px	N		CP16			
81105	Hpa-1 genotyping	A		NP18			
81106	Hpa-2 genotyping	A		NP18			
81107	Hpa-3 genotyping	A		NP18			
81108	Hpa-4 genotyping	A		NP18			
81109	Hpa-5 genotyping	A		NP18			
81110	Hpa-6 genotyping	A		NP18			
81111	Hpa-9 genotyping	A		NP18			
81112	Hpa-15 genotyping	A		NP18			
81120	Idh1 common variants	A		NP18			
81121	Idh2 common variants	A		NP18			
81161	Dmd dup/delet analysis	A		CP16			
81162	Brca1&2 gen full seq dup/del	A		NP16			
81163	Brca1&2 gene full seq alys	A		NP19			
81164	Brca1&2 gen ful dup/del alys	A		NP19			
81165	Brca1 gene full seq alys	A		NP19			
81166	Brca1 gene full dup/del alys	A		NP19			
81167	Brca2 gene full dup/del alys	A		NP19			
81168	Ccnd1/igh translocation alys	A		NP21			
81170	Abl1 gene	A		NP16			
81171	Aff2 gen aly detc abnl allel	A		NP19			
81172	Aff2 gen alys charac alleles	A		NP19			
81173	Ar gene full gene sequence	A		NP19			
81174	Ar gene known famil variant	A		NP19			
81175	Asxl1 full gene sequence	A		NP18			
81176	Asxl1 gene target seq alys	A		NP18			
81177	Atn1 gene detc abnor alleles	A		NP19			
81178	Atxn1 gene detc abnor allele	A		NP19			
81179	Atxn2 gene detc abnor allele	A		NP19			
81180	Atxn3 gene detc abnor allele	A		NP19			
81181	Atxn7 gene detc abnor allele	A		NP19			
81182	Atxn8os gen detc abnor allel	A		NP19			
81183	Atxn10 gene detc abnor allel	A		NP19			
81184	Cacna1a gen detc abnor allel	A		NP19			
81185	Cacna1a gene full gene seq	A		NP19			
81186	Cacna1a gen known famil vrnt	A		NP19			
81187	Cnbp gene detc abnor allele	A		NP19			
81188	Cstb gene detc abnor allele	A		NP19			
81189	Cstb gene full gene sequence	A		NP19			
81190	Cstb gene known famil vrnt	A		NP19			
81191	Ntrk1 translocation analysis	A		NP21			
81192	Ntrk2 translocation analysis	A		NP21			
81193	Ntrk3 translocation analysis	A		NP21			
81194	Ntrk translocation analysis	A		NP21			
81195	Cytog genom-wid alys hem mal	A 		NP25			
81200	Aspa gene	A		NI12			
81201	Apc gene full sequence	A		NI13			
81202	Apc gene known fam variants	A		NI13			
81203	Apc gene dup/delet variants	A		NI13			
81204	Ar gene charac alleles	A		NP19			
81205	Bckdhb gene	A		NI12			
81206	Bcr/abl1 gene major bp	A		NI12			
81207	Bcr/abl1 gene minor bp	A		NI12			
81208	Bcr/abl1 gene other bp	A		NI12			
81209	Blm gene	A		NI12			
81210	Braf gene	A		NI12			
81211	Brca1&2 seq & com dup/del	A		PD19			
81212	Brca1&2 185&5385&6174 vrnt	A		NI12			
81213	Brca1&2 uncom dup/del var	A		PD19			
81214	Brca1 full seq & com dup/del	A		PD19			
81215	Brca1 gene known famil vrnt	A		NI12			
81216	Brca2 gene full seq alys	A		NI12			
81217	Brca2 gene known famil vrnt	A		NI12			
81218	Cebpa gene full sequence	A		NP16			
81219	Calr gene com variants	A		NP16			
81220	Cftr gene com variants	A		NI12			
81221	Cftr gene known fam variants	A		NI12			
81222	Cftr gene dup/delet variants	A		NI12			
81223	Cftr gene full sequence	A		NI12			
81224	Cftr gene intron poly t	A		NI12			
81225	Cyp2c19 gene com variants	A		NI12			
81226	Cyp2d6 gene com variants	A		NI12			
81227	Cyp2c9 gene com variants	A		NI12			
81228	Cytog alys chrml abnr cgh	A		NI12			
81229	Cytog alys chrml abnr snpcgh	A		NI12			
81230	Cyp3a4 gene common variants	A		NP18			
81231	Cyp3a5 gene common variants	A		NP18			
81232	Dpyd gene common variants	A		NP18			
81233	Btk gene common variants	A		NP19			
81234	Dmpk gene detc abnor allele	A		NP19			
81235	Egfr gene com variants	A		NI13			
81236	Ezh2 gene full gene sequence	A		NP19			
81237	Ezh2 gene common variants	A		NP19			
81238	F9 full gene sequence	A		NP18			
81239	Dmpk gene charac alleles	A		NP19			
81240	F2 gene	A		NI12			
81241	F5 gene	A		NI12			
81242	Fancc gene	A		NI12			
81243	Fmr1 gen aly detc abnl allel	A		NI12			
81244	Fmr1 gen alys charac alleles	A		NI12			
81245	Flt3 gene	A		NI12			
81246	Flt3 gene analysis	A		NI15			
81247	G6pd gene alys cmn variant	A		NP18			
81248	G6pd known familial variant	A		NP18			
81249	G6pd full gene sequence	A		NP18			
81250	G6pc gene	A		NI12			
81251	Gba gene	A		NI12			
81252	Gjb2 gene full sequence	A		NI13			
81253	Gjb2 gene known fam variants	A		NI13			
81254	Gjb6 gene com variants	A		NI13			
81255	Hexa gene	A		NI12			
81256	Hfe gene	A		NI12			
81257	Hba1/hba2 gene	A		NI12			
81258	Hba1/hba2 gene fam vrnt	A		NP18			
81259	Hba1/hba2 full gene sequence	A		NP18			
81260	Ikbkap gene	A		NI12			
81261	Igh gene rearrange amp meth	A		NI12			
81262	Igh gene rearrang dir probe	A		NI12			
81263	Igh vari regional mutation	A		NI12			
81264	Igk rearrangeabn clonal pop	A		NI12			
81265	Str markers specimen anal	A		NI12			
81266	Str markers spec anal addl	A		NI12			
81267	Chimerism anal no cell selec	A		NI12			
81268	Chimerism anal w/cell select	A		NI12			
81269	Hba1/hba2 gene dup/del vrnts	A		NP18			
81270	Jak2 gene	A		NI12			
81271	Htt gene detc abnor alleles	A		NP19			
81272	Kit gene targeted seq analys	A		NP16			
81273	Kit gene analys d816 variant	A		NP16			
81274	Htt gene charac alleles	A		NP19			
81275	Kras gene variants exon 2	A		NI12			
81276	Kras gene addl variants	A		NP16			
81277	Cytogenomic neo microra alys	A		NP20			
81278	Igh@/bcl2 translocation alys	A		NP21			
81279	Jak2 gene trgt sequence alys	A		NP21			
81283	Ifnl3 gene	A		NP18			
81284	Fxn gene detc abnor alleles	A		NP19			
81285	Fxn gene charac alleles	A		NP19			
81286	Fxn gene full gene sequence	A		NP19			
81287	Mgmt gene prmtr mthyltn alys	A		NI14			
81288	Mlh1 gene	A		NI15			
81289	Fxn gene known famil variant	A		NP19			
81290	Mcoln1 gene	A		NI12			
81291	Mthfr gene	A		NI12			
81292	Mlh1 gene full seq	A		NI12			
81293	Mlh1 gene known variants	A		NI12			
81294	Mlh1 gene dup/delete variant	A		NI12			
81295	Msh2 gene full seq	A		NI12			
81296	Msh2 gene known variants	A		NI12			
81297	Msh2 gene dup/delete variant	A		NI12			
81298	Msh6 gene full seq	A		NI12			
81299	Msh6 gene known variants	A		NI12			
81300	Msh6 gene dup/delete variant	A		NI12			
81301	Microsatellite instability	A		NI12			
81302	Mecp2 gene full seq	A		NI12			
81303	Mecp2 gene known variant	A		NI12			
81304	Mecp2 gene dup/delet variant	A		NI12			
81305	Myd88 gene p.leu265pro vrnt	A		NP19			
81306	Nudt15 gene common variants	A		NP19			
81307	Palb2 gene full gene seq	A		NP20			
81308	Palb2 gene known famil vrnt	A		NP20			
81309	Pik3ca gene trgt seq alys	A		NP20			
81310	Npm1 gene	A		NI12			
81311	Nras gene variants exon 2&3	A		NP16			
81312	Pabpn1 gene detc abnor allel	A		NP19			
81313	Pca3/klk3 antigen	A		NI15			
81314	Pdgfra gene	A		NP16			
81315	Pml/raralpha com breakpoints	A		NI12			
81316	Pml/raralpha 1 breakpoint	A		NI12			
81317	Pms2 gene full seq analysis	A		NI12			
81318	Pms2 known familial variants	A		NI12			
81319	Pms2 gene dup/delet variants	A		NI12			
81320	Plcg2 gene common variants	A		NP19			
81321	Pten gene full sequence	A		NI13			
81322	Pten gene known fam variant	A		NI13			
81323	Pten gene dup/delet variant	A		NI13			
81324	Pmp22 gene dup/delet	A		NI13			
81325	Pmp22 gene full sequence	A		NI13			
81326	Pmp22 gene known fam variant	A		NI13			
81327	Sept9 gen prmtr mthyltn alys	A		NP17			
81328	Slco1b1 gene com variants	A		NP18			
81329	Smn1 gene dos/deletion alys	A		NP19			
81330	Smpd1 gene common variants	A		NI12			
81331	Snrpn/ube3a gene	A		NI12			
81332	Serpina1 gene	A		NI12			
81333	Tgfbi gene common variants	A		NP19			
81334	Runx1 gene targeted seq alys	A		NP18			
81335	Tpmt gene com variants	A		NP18			
81336	Smn1 gene full gene sequence	A		NP19			
81337	Smn1 gen nown famil seq vrnt	A		NP19			
81338	Mpl gene common variants	A		NP21			
81339	Mpl gene seq alys exon 10	A		NP21			
81340	Trb@ gene rearrange amplify	A		NI12			
81341	Trb@ gene rearrange dirprobe	A		NI12			
81342	Trg gene rearrangement anal	A		NI12			
81343	Ppp2r2b gen detc abnor allel	A		NP19			
81344	Tbp gene detc abnor alleles	A		NP19			
81345	Tert gene targeted seq alys	A		NP19			
81346	Tyms gene com variants	A		NP18			
81347	Sf3b1 gene common variants	A		NP21			
81348	Srsf2 gene common variants	A		NP21			
81349	Cytog alys chrml abnr lw-ps	A 		NP22			
81350	Ugt1a1 gene common variants	A		NI12			
81351	Tp53 gene full gene sequence	A		NP21			
81352	Tp53 gene trgt sequence alys	A		NP21			
81353	Tp53 gene known famil vrnt	A		NP21			
81355	Vkorc1 gene	A		NI12			
81357	U2af1 gene common variants	A		NP21			
81360	Zrsr2 gene common variants	A		NP21			
81361	Hbb gene com variants	A		NP18			
81362	Hbb gene known fam variant	A		NP18			
81363	Hbb gene dup/del variants	A		NP18			
81364	Hbb full gene sequence	A		NP18			
81370	Hla i & ii typing lr	A		NI12			
81371	Hla i & ii type verify lr	A		NI12			
81372	Hla i typing complete lr	A		NI12			
81373	Hla i typing 1 locus lr	A		NI12			
81374	Hla i typing 1 antigen lr	A		NI12			
81375	Hla ii typing ag equiv lr	A		NI12			
81376	Hla ii typing 1 locus lr	A		NI12			
81377	Hla ii type 1 ag equiv lr	A		NI12			
81378	Hla i & ii typing hr	A		NI12			
81379	Hla i typing complete hr	A		NI12			
81380	Hla i typing 1 locus hr	A		NI12			
81381	Hla i typing 1 allele hr	A		NI12			
81382	Hla ii typing 1 loc hr	A		NI12			
81383	Hla ii typing 1 allele hr	A		NI12			
81400	Mopath procedure level 1	A		NI12			
81401	Mopath procedure level 2	A		NI12			
81402	Mopath procedure level 3	A		NI12			
81403	Mopath procedure level 4	A		NI12			
81404	Mopath procedure level 5	A		NI12			
81405	Mopath procedure level 6	A		NI12			
81406	Mopath procedure level 7	A		NI12			
81407	Mopath procedure level 8	A		NI12			
81408	Mopath procedure level 9	A		NI12			
81410	Aortic dysfunction/dilation	A		NI15			
81411	Aortic dysfunction/dilation	A		NI15			
81412	Ashkenazi jewish assoc dis	A		NP16			
81413	Car ion chnnlpath inc 10 gns	A		NP17			
81414	Car ion chnnlpath inc 2 gns	A		NP17			
81415	Exome sequence analysis	A		NI15			
81416	Exome sequence analysis	A		NI15			
81417	Exome re-evaluation	A		NI15			
81418	Rx metab gen seq alys pnl 6	A		NP23			
81419	Epilepsy gen seq alys panel	A		NP21			
81420	Fetal chrmoml aneuploidy	A		NI15			
81422	Fetal chrmoml microdeltj	A		NP17			
81425	Genome sequence analysis	A		NI15			
81426	Genome sequence analysis	A		NI15			
81427	Genome re-evaluation	A		NI15			
81430	Hearing loss sequence analys	A		NI15			
81431	Hearing loss dup/del analys	A		NI15			
